"longitude","latitude","COUNTRY","MeanTemp","AnnPrec","soilclass","sand","silt","clay","cec","ph_cacl2","toc"
-0.0021,51.896,"UNK",9.7,636,"l",71.4,15.2,13.4,18.5,5.25,1.4
-0.0258,42.8837,"FRA",8.7,942,"m",41.2,38.7,20.1,18.3,6.25,2.3
-0.1281,43.3086,"FRA",11.4,894,"l",46.3,41.6,12,12.3,5.33,1.6
-0.1287,53.6913,"UNK",9.6,664,"m",32.8,42.5,24.7,30.2,6.27,2.5
-0.153,46.9363,"FRA",11.6,701,"m",54.2,27.6,18.2,16.5,5.66,1.8
-0.1679,52.8771,"UNK",9.7,581,"m",43.4,41.1,15.6,18,6.21,1.6
-0.1822,52.3805,"UNK",9.7,550,"m",35,40,25,32.7,7.52,2.2
-0.2014,43.7547,"FRA",12.4,910,"l",43.3,49.6,7.1,5,4.9,0.6
-0.2069,40.1156,"SPA",15.1,466,"m",38.9,37.9,23.2,21.1,7.35,1.2
-0.211,44.1798,"FRA",12.1,938,"s",34.9,38.1,27,16.7,7.33,0.8
-0.2163,53.2696,"UNK",9.4,619,"ll",94.8,3.7,1.4,18.3,6.4,1.8
-0.2194,50.9625,"UNK",10,662,"m",36.4,44.4,19.2,24.6,6.97,1.7
-0.242,47.378,"FRA",11.7,665,"m",45.2,30.7,24.1,21,5.49,0.8
-0.2661,40.5556,"SPA",10.5,580,"m",36.9,42.1,21,26.5,7.24,3
-0.3071,54.1415,"UNK",9.4,788,"l",70.5,18.2,11.3,29.9,7.26,2.6
-0.313,47.8914,"FRA",11.1,711,"l",74.2,16.9,8.9,8.1,5.44,0.7
-0.3447,41.0619,"SPA",13.8,409,"l",63,24.5,12.4,16,7.43,2.6
-0.3665,44.6457,"FRA",12.8,911,"ll",80.7,11.1,8.2,13.3,6.07,0.8
-0.385,41.4644,"SPA",14.5,365,"s",49.6,22.9,27.5,32.5,7.55,1.8
-0.424,48.2752,"FRA",10.2,761,"l",30.9,57.5,11.6,14.9,6.09,1.5
-0.4441,45.0942,"FRA",12.6,896,"l",75.7,13,11.3,11,5.26,0.6
-0.4763,51.5861,"UNK",10.1,639,"m",44.5,34.1,21.4,18.1,6.02,2
-0.4986,41.9058,"SPA",12.8,417,"s",28.8,42.3,28.9,16.4,7.42,0.9
-0.526,48.7167,"FRA",9.9,770,"l",33.2,53.7,13.1,18.2,5.41,1.6
-0.5281,38.2547,"SPA",18.3,323,"m",45.4,35.9,18.6,23.8,7.38,2.2
-0.536,45.5437,"FRA",12.6,867,"m",57.2,25.9,16.9,18.4,7.1,1
-0.5511,38.6714,"SPA",13.9,524,"s",48.1,22.8,29.1,28.8,7.3,5.3
-0.5675,42.3733,"SPA",10.1,658,"s",20.7,52.6,26.7,15.3,7.4,0.8
-0.5889,39.1453,"SPA",17.4,421,"m",42.3,34.6,23.1,24.2,7.6,0.6
-0.6181,49.1635,"FRA",10.5,725,"l",51.3,36.5,12.2,21,6.25,2.3
-0.626,45.983,"FRA",12.5,814,"l",57.3,34.7,8,25.8,7.33,2.8
-0.7139,39.6092,"SPA",16.3,412,"m",52,27.4,20.6,19.8,7.55,5.2
-0.714,46.4302,"FRA",12.2,764,"m",31.3,51.1,17.6,27.6,7.29,2.7
-0.7428,42.7478,"SPA",9.5,886,"m",52.4,29.9,17.7,20.6,6.94,3.2
-0.7443,43.2388,"FRA",12.4,990,"m",35.7,47.2,17.1,13.8,4.54,1.9
-0.7672,40.0467,"SPA",11.2,508,"m",35.2,41.1,23.7,25.2,7.33,1.4
-0.809,46.8801,"FRA",11.3,759,"m",45.9,35.8,18.3,12.3,4.31,2.4
-0.8214,51.8862,"UNK",9.5,649,"m",63.2,20.7,16.2,29.2,7.05,2.9
-0.8218,43.6946,"FRA",13,1096,"l",35.3,52.8,11.8,7.3,5.25,1.1
-0.8472,40.4897,"SPA",8.9,579,"m",28.8,50.4,20.7,18.5,7.36,1
-0.8686,54.1738,"UNK",9.3,667,"m",47.5,32.9,19.5,32.4,6.47,3
-0.8785,60.7997,"UNK",6.3,1226,"ll",80.5,15,4.5,11,4.09,3
-0.8842,53.2873,"UNK",9.6,609,"m",37,40.8,22.2,26.9,6.69,3.6
-0.908,47.3026,"FRA",11,734,"l",33.8,55,11.2,14.4,5.48,1.5
-0.9084,53.7535,"UNK",9.5,603,"s",38.8,35.8,25.3,23.2,7.28,2.1
-0.9168,44.1425,"FRA",12.7,1131,"l",70,21.2,8.7,5.1,4.79,1
-0.9433,52.4133,"UNK",9.2,652,"l",45.8,39.4,14.8,27.4,6.46,1.6
-0.9453,40.9136,"SPA",10,474,"l",77.7,14.6,7.7,13.7,7.57,0.4
-0.949,51.5278,"UNK",9.6,700,"l",57.9,29.7,12.4,14.8,6.72,1.4
-0.9781,37.7617,"SPA",18,302,"s",46.8,26.9,26.3,17.2,7.58,1.4
-0.986,47.7601,"FRA",11.1,713,"m",46,37.9,16.1,11.2,5.05,1.2
-0.9903,52.8819,"UNK",9.8,614,"m",55,29.9,15.1,40.8,7.02,4.7
-1.0241,44.5755,"FRA",12.9,1067,"ll",96.6,2.6,0.9,2.2,3.32,1.1
-1.0524,54.5716,"UNK",8.8,708,"m",45.3,36,18.7,19.6,6.47,2.1
-1.0525,51.0381,"UNK",9.3,867,"m",51.2,24.4,24.4,27.1,7.27,3
-1.0601,45.051,"FRA",12.8,987,"ll",91.5,6.5,2,4.8,4.32,0.9
-1.087,48.206,"FRA",10.8,744,"m",37,47.9,15.1,10.5,5.69,1.6
-1.1433,38.6578,"SPA",14.7,416,"l",72.7,14,13.2,22.4,7.47,0.8
-1.1825,42.2817,"SPA",12,623,"m",22.1,54,23.9,21.3,7.49,3.6
-1.1876,48.6511,"FRA",10.7,774,"l",41.2,47.9,10.9,9.7,5.67,1.7
-1.1878,39.0875,"SPA",13.4,459,"m",45.6,37.6,16.8,21,7.51,1.2
-1.236,45.9166,"FRA",12.7,823,"l",35.8,50.2,14,17.9,7.06,1.8
-1.2822,39.5361,"SPA",12.8,455,"s",29,43.5,27.6,18.8,7.44,0.9
-1.3011,42.7289,"SPA",11.5,932,"s",23.7,46,30.3,20.2,7.37,3.6
-1.3016,49.0947,"FRA",11,811,"l",40.3,47.5,12.2,8.7,5.02,1.6
-1.3033,59.8868,"UNK",7.2,1133,"l",77.2,16.4,6.4,18.8,6.74,2.7
-1.341,46.3704,"FRA",12.5,777,"s",20.4,41.8,37.8,37.1,7.35,1.4
-1.3459,43.1847,"FRA",12.8,1190,"m",39.5,40.3,20.2,22.9,5.17,1.7
-1.3706,39.9794,"SPA",11.1,484,"m",42.2,36.7,21.1,22.4,7.46,1.5
-1.3743,43.6011,"FRA",13.6,1304,"l",48.6,36.8,14.6,8.3,4.64,0.9
-1.4003,49.5244,"FRA",11.3,866,"l",31.2,54.8,14.1,16.5,6.49,1.6
-1.4381,40.4506,"SPA",9.6,509,"l",11.3,84.1,4.6,20.6,7.3,2.1
-1.442,46.8175,"FRA",11.7,797,"l",36.9,51.6,11.5,7.5,5.46,1.2
-1.4831,40.9058,"SPA",10.1,453,"l",55.6,33.3,11.1,28.9,7.41,3.3
-1.4904,60.4729,"UNK",7,1173,"ll",75.9,20,4.1,13,5.19,5.4
-1.5285,53.2304,"UNK",8.6,911,"l",53.6,33.6,12.8,15.1,5.38,2.7
-1.545,47.2752,"FRA",11.6,781,"m",42.9,41.8,15.3,13.1,5.74,1.4
-1.5808,54.1882,"UNK",9,712,"l",55.1,33.7,11.2,17.9,5.93,2.1
-1.5958,51.4614,"UNK",9.5,684,"s",36.6,37.9,25.5,25,7.18,2.3
-1.6328,41.3183,"SPA",12.3,396,"m",38.5,36.8,24.8,16.5,7.53,1.7
-1.6411,50.7456,"UNK",10.2,795,"m",30.6,46.8,22.6,21,7.13,1.2
-1.648,47.6969,"FRA",11.4,738,"m",54.3,27.3,18.4,6.4,4.18,1.5
-1.6693,54.6314,"UNK",8.4,719,"l",58.6,29.1,12.4,18.9,5.7,12
-1.6822,41.7822,"SPA",11.5,491,"m",37.5,39.8,22.7,14.9,6.74,1.2
-1.6908,38.5775,"SPA",14.9,372,"m",83.6,2.2,14.1,21,7.5,2.9
-1.7055,55.5347,"UNK",8.5,694,"l",59.2,28,12.8,17.7,6.26,2.2
-1.7134,51.9752,"UNK",9.2,646,"m",50,30.6,19.4,26.9,6.14,3.3
-1.726,52.3874,"UNK",9.1,672,"m",76.5,9.6,14,18.7,6.3,2.1
-1.737,53.6651,"UNK",9.3,872,"l",54.1,31.2,14.7,23,6.23,6.3
-1.747,48.146,"FRA",11.1,716,"m",33.3,50.8,15.9,17.3,6.27,1.5
-1.7703,39.0311,"SPA",14.2,385,"l",69.7,17.9,12.4,22.1,7.52,1.3
-1.7722,50.9956,"UNK",9.9,758,"l",68,18.4,13.6,20,7.15,2.4
-1.7908,52.8129,"UNK",9.3,750,"m",37.1,38.2,24.6,21.3,5.72,1.9
-1.8025,42.2561,"SPA",13.6,552,"m",55.5,26.6,17.9,24.3,7.44,1.7
-1.8104,57.4457,"UNK",8.1,827,"ll",61.1,38,1,19,5.24,5.4
-1.858,48.5786,"FRA",11.5,725,"s",26.2,46.5,27.3,21.5,7.4,1.1
-1.8677,54.9926,"UNK",8.3,683,"l",63.2,25.3,11.5,20.1,6.4,2.4
-1.8694,42.6019,"SPA",12.9,781,"s",30.8,42.3,27,23.3,7.38,1.6
-1.87,39.4803,"SPA",13.1,438,"s",52.1,20.8,27.2,31,7.45,0.6
-1.9417,39.9283,"SPA",11.1,531,"s",34.1,37.6,28.3,27.1,7.43,1
-1.9644,43.1111,"SPA",12.2,1254,"l",46.5,45.7,7.8,7.6,5.14,2.9
-16.3444,28.4742,"SPA",15.8,572,"m",38.8,43.8,17.4,15,4.13,1.9
-2.0333,37.1478,"SPA",16.7,293,"m",48.5,28.9,22.6,21.5,7.51,0.9
-2.0483,40.8117,"SPA",11,465,"m",51.8,29.3,18.9,22,7.22,4.9
-2.0486,37.6356,"SPA",14.4,400,"l",43.7,46.3,10,17.3,7.47,0.8
-2.1661,40.3472,"SPA",11.5,492,"l",36.9,62.1,1,19.3,7.3,0.9
-2.2158,41.2425,"SPA",11.9,430,"m",73.5,11.3,15.2,25.7,7.5,2.6
-2.2517,38.4944,"SPA",13,465,"m",46.2,33.6,20.2,24.9,7.55,1.1
-2.2915,51.4979,"UNK",9.2,792,"m",49.6,33.9,16.5,25.4,6.93,2.4
-2.2978,50.7086,"UNK",9.9,794,"l",57.9,30.2,11.9,14.8,5.45,2.6
-2.313,47.6211,"FRA",11.5,799,"m",38.1,42.4,19.6,15.1,6,2.5
-2.3203,51.0092,"UNK",9.2,809,"m",54.2,26.9,18.9,38.3,6.75,3.9
-2.3228,51.917,"UNK",9.9,682,"m",56.8,25.8,17.4,22.2,5.53,2.9
-2.3372,38.9514,"SPA",13,454,"s",45.2,28.6,26.3,22.9,7.45,1.3
-2.3381,52.7673,"UNK",9.1,694,"m",44,33.9,22.1,17.7,6.3,1.6
-2.3397,42.0981,"SPA",10.4,601,"m",45.1,33.6,21.2,15,7.49,3.5
-2.359,55.9234,"UNK",7.9,733,"m",53.9,30.9,15.2,18.5,6.28,1.1
-2.416,48.0576,"FRA",11.1,798,"m",46,38.6,15.4,11.2,5.06,2.1
-2.4181,53.3276,"UNK",9.5,890,"l",66.7,23,10.3,12.2,5.72,2
-2.4223,56.8982,"UNK",7.8,742,"m",49.1,33.5,17.4,11,5.64,1.6
-2.4265,57.6429,"UNK",7.9,817,"l",59.4,29.8,10.8,12.9,5.33,4.9
-2.4555,55.5292,"UNK",8.3,742,"l",59.2,30.3,10.5,13.7,5.45,1.7
-2.4626,52.3853,"UNK",8.9,725,"m",39,40.2,20.8,18.5,5.91,5.8
-2.4847,42.5739,"SPA",11.8,650,"m",38,37.6,24.3,20.3,7.33,1.3
-2.4879,54.5993,"UNK",8,1009,"ll",91,7.6,1.4,16.9,5.88,2.3
-2.5075,39.8511,"SPA",12.5,480,"m",64.4,13,22.7,18,7.31,0.5
-2.527,48.5092,"FRA",11,801,"l",41.7,45.8,12.5,12.2,6.01,1.6
-2.5417,43.0403,"SPA",12.6,1033,"l",51.5,34.4,14.2,11.1,3.7,1.2
-2.576,57.3629,"UNK",7.9,775,"l",50.7,42.8,6.4,18.3,5.43,3.6
-2.5916,53.714,"UNK",8.9,1136,"m",55.3,28.6,16.1,23.5,5.39,4.6
-2.6228,37.9219,"SPA",12.6,516,"s",51.6,22.1,26.3,26.7,7.39,3.3
-2.6435,54.118,"UNK",8.9,1145,"ll",70.6,25.3,4.1,19.2,6.69,3.3
-2.649,54.958,"UNK",7.8,905,"ll",74.6,24,1.5,8.6,5.57,2.3
-2.6956,40.7631,"SPA",11.2,480,"s",50.3,23.3,26.4,24.4,7.34,3.4
-2.7303,56.5364,"UNK",7.8,712,"l",66,22,12,16.5,4.64,2.6
-2.8125,38.4367,"SPA",15.1,409,"m",35.5,40.3,24.1,17.8,7.37,0.7
-2.8469,51.9604,"UNK",9.6,830,"m",35.5,42.1,22.4,18.4,5.33,1.7
-2.8656,41.6192,"SPA",10.8,511,"m",57.7,24.1,18.2,17.2,7.41,0.5
-2.867,53.6611,"UNK",9.2,915,"l",59,29.9,11.2,14.3,6.76,2.8
-2.8793,55.5394,"UNK",7.9,872,"l",44.9,42,13.1,10.5,5.76,1.8
-2.9006,38.8925,"SPA",13.3,468,"l",42,43.5,14.5,23.4,7.36,1.3
-2.9169,54.6443,"UNK",7.2,1136,"l",61.2,25.5,13.3,13.7,4.99,2.9
-2.9844,39.3333,"SPA",14.4,415,"m",80.8,9.2,10,18.4,7.53,0.4
-2.9882,53.2651,"UNK",9.3,768,"l",59.7,25.9,14.5,14.2,5.62,2.4
-3.0033,51.0086,"UNK",9.7,851,"m",51.5,30.5,17.9,15.5,4.98,1.8
-3.0069,42.5314,"SPA",12,649,"s",25.5,44.9,29.6,17.3,7.47,0.8
-3.0381,50.7511,"UNK",9.7,820,"l",51.3,35.8,12.9,21,5.63,2.9
-3.0382,56.8148,"UNK",7.1,794,"ll",66.1,30.2,3.7,10.3,6.06,3.9
-3.0856,42.1433,"SPA",9,658,"m",42.3,41.6,16.1,13.3,5.55,0.7
-3.087,47.985,"FRA",11.3,891,"l",57,32.7,10.3,11.3,5.14,1.8
-3.0961,36.9942,"SPA",13.8,479,"s",34.9,36.2,28.9,15.5,7.15,1.1
-3.1216,51.583,"UNK",10.1,989,"l",59.4,26.3,14.3,13.5,5.94,3.4
-3.1312,55.8404,"UNK",8,816,"l",64,25.2,10.8,18.2,5.54,4.3
-3.1388,54.177,"UNK",8.4,1037,"l",45.2,42.9,11.9,19.7,5.82,5.6
-3.1442,39.7619,"SPA",13.7,431,"m",70.3,12.9,16.8,21.7,7.56,0.5
-3.1564,57.6292,"UNK",8.3,719,"ll",87.5,11.5,1,10.9,5.41,1.9
-3.1644,42.9578,"SPA",10.9,923,"s",44.6,29.9,25.5,35.5,7.22,2.4
-3.1764,40.2158,"SPA",13.1,446,"s",50.6,22.6,26.8,22.2,7.53,1.8
-3.192,48.4236,"FRA",10,973,"ll",56,42.2,1.7,18.4,5.7,4.6
-3.2039,37.4675,"SPA",14.5,485,"s",50.2,20.7,29.1,19,7.43,0.5
-3.2126,59.0674,"UNK",7.3,963,"l",41.3,46.1,12.6,17.7,5.89,4.3
-3.2248,56.4271,"UNK",8.4,690,"m",35.5,43.6,20.8,20.8,5.71,2.1
-3.2381,41.0167,"SPA",10.8,497,"m",51.3,25.7,23,14.8,7.31,0.6
-3.2409,52.7154,"UNK",8.9,908,"m",45.1,36.1,18.8,15.8,5.4,2
-3.2519,52.2915,"UNK",8.3,1183,"m",39.5,41,19.5,20.7,5.71,3.5
-3.2533,55.0397,"UNK",8.4,1033,"l",57.6,31.1,11.4,6.7,6.06,2.2
-3.2583,43.4011,"SPA",14.2,1145,"m",39.3,43.7,17,17.7,6.7,2.8
-3.2589,40.6592,"SPA",12.5,439,"s",43.7,31,25.3,17.5,5.71,0.5
-3.2693,58.6271,"UNK",7.5,849,"l",66,28.4,5.6,13.5,5.22,2.3
-3.3093,57.2997,"UNK",6.5,854,"l",72.8,19.2,8,37.2,6.11,6.3
-3.3186,37.9172,"SPA",17.4,401,"s",39,25.7,35.3,24.9,7.52,1.2
-3.3514,38.4011,"SPA",15,473,"m",40.7,37.2,22.1,9.2,5.11,0.8
-3.4066,58.2764,"UNK",7.3,791,"l",59.5,29.9,10.6,10.3,4.16,4.1
-3.4619,41.5467,"SPA",10.6,504,"m",43.4,33.1,23.5,34.8,7.28,2.5
-3.4797,38.7678,"SPA",14.8,444,"s",35.6,37.4,26.9,21.7,7.46,0.8
-3.5811,41.9869,"SPA",10.2,538,"s",36.9,32,31.2,30.2,7.31,1.4
-3.6272,39.2078,"SPA",14.7,413,"s",58.7,5.6,35.6,18.8,7.44,1.1
